Latitude_Degrees,Longitude_Degrees,Depth_m,Date_Year,ClimSST,SSTA_DHW,target
25.0881,-77.4737,17.5,1998,302.48,9.29,1
23.797,-76.146,7.77,2005,299.89,4.61,1
23.797,-76.146,4.5,2005,299.89,4.61,1
23.743,-76.076,3.96,2005,299.48,6.17,1
23.831,-76.198,3.65,2005,299.84,2.65,1
17.83,-87.98,16.7,2007,301.61,0,1
16.1,-88.29,8,2007,302.83,5.11,1
17.826,-87.985,11.3,2005,301.95,8.45,1
16.21,-88.18,8,1998,302.52,2.67,1
16.3333,-88.1667,8,1998,302.61,1.13,1
16.8,-87.7667,13.5,1998,302.24,1.04,1
17.3,-87.5,8,1998,302.18,3.28,1
16.749,-87.786,7,2005,301.08,5.11,1
16.8086,-87.6901,9.14,1998,299.7,1,1
-13.6952,-38.9047,10.5,1998,300.65,9.94,1
19.3167,-81.2333,3,1998,262.15,4,1
10.78,103.24,4,2009,303.07,0,1
10.62,103.29,5,2009,262.15,0.84,1
-7,71,3.5,2006,301.59,0,1
9.706,-75.866,4.5,2005,302.68,5.82,1
10.155,-75.803,9.5,2005,302.7,9.25,1
9.761,-75.879,1.5,2005,302.6,3.31,1
10.012,-75.617,6,2005,302.86,6.3,1
10.24,-75.62,6,2005,302.23,6.34,1
12.499,-81.714,15,2005,300.64,13.11,1
14.133,145.158,2.5,2001,262.15,1.87,1
22.114,-81.118,15,2005,302.31,5.41,1
19.8307,-77.7348,2,2005,262.15,3.95,1
22.561,-78.463,7.5,2005,300.22,6.64,1
-1.2239,-90.5017,14,1998,298.96,50.31,1
-0.8947,-90.4097,1.5,1998,299,45.79,1
0.5028,-90.4278,7,1998,299.27,40.67,1
-1.3361,-89.6938,20,1998,262.15,41.84,1
-0.7998,-90.1042,20,1998,298.82,45.91,1
-0.4907,-90.414,20,1998,299.22,42.45,1
-0.2779,-90.5162,20,1998,299.18,41.61,1
-17.11,179.06,17,2008,301.67,11.07,1
-18.43,178.07,4.5,2000,300.31,12.95,1
-18.43,178.09,4.5,2000,300.31,12.95,1
-18.42,178.02,2,2000,300.34,8.45,1
16.398,-61.533,11,2005,299.36,1.3,1
-17.5413,-149.6193,4,1994,302.01,1,1
-16.55,-151.78,0.7,2007,301.82,4.16,1
-16.55,-151.78,1,2009,301.82,4.16,1
-16.54,-151.79,1.3,2007,301.82,4.16,1
-16.54,-151.79,1.3,2009,299.92,0,1
-16.54,-151.74,2,2007,301.68,2.56,1
-16.54,-151.73,1.7,2007,301.79,4.22,1
-16.54,-151.73,1.2,2007,301.29,5.24,1
-16.53,-151.73,2.8,2007,301.74,3.49,1
-16.53,-151.73,1.8,2009,300.43,0,1
-16.53,-151.73,2.2,2009,300.43,0,1
-16.5,-151.78,7,2007,301.68,4.2,1
-16.5,-151.78,15,2007,301.68,4.2,1
-16.5,-151.78,15,2009,301.68,1.18,1
-16.5,-151.78,7,2009,301.68,1.18,1
-16.55,-151.7,1,2007,301.29,5.24,1
-16.54,-151.75,2,2007,300.61,4.16,1
-16.54,-151.75,2,2009,300.01,0,1
-16.51,-151.76,1,2007,300.62,1.24,1
-16.51,-151.76,1,2009,300.46,0,1
-16.49,-151.71,2.8,2007,300.63,1.35,1
-16.49,-151.71,2.8,2009,300.46,0,1
-16.53,-151.77,1.5,2009,300.46,0,1
-16.51,-151.78,1,2009,300.46,2.19,1
-16.48,-151.72,1,2009,300.46,0,1
-16.48,-151.72,1,2007,299.89,1.19,1
-16.46,-151.78,1,2009,300.44,0,1
-16.46,-151.78,1,2007,299.89,0,1
-16.45,-151.77,1.3,2009,300.41,0,1
-16.45,-151.77,1.3,2007,299.86,3.62,1
-16.44,-151.76,1,2009,300.41,0,1
-16.44,-151.76,1,2007,299.86,3.62,1
-16.5,-151.76,2.7,2007,299.9,1.18,1
15.98,-86.49,12,2009,301.15,0,1
-5.5167,106.4833,7.5,1983,302.34,10.95,1
-8.1517,115.0253,8,2009,302.67,1.13,1
-4.96,119.28,13.5,2010,301.9,2.32,1
-8.1177,115.3475,8,2009,301.86,8.12,1
