Latitude_Degrees,Longitude_Degrees,Depth_m,Date_Year,ClimSST,SSTA_DHW
-23.4439,151.9286,,1998,297.23,31.79
-18.7502,147.2688,,1998,301.47,4.43
-17.8847,146.5938,,1998,301.55,4.7
-17.2661,146.3636,,1998,301.62,2.49
-16.7601,147.7259,,1998,301.32,0.0
-20.4182,149.0172,,2002,299.48,6.64
-20.3937,149.0258,,2002,299.6,7.72
-20.3508,150.0691,,2002,299.78,5.31
-20.3503,150.0971,,2002,299.78,5.31
-20.3446,148.9627,,2002,299.47,2.7
-20.3391,148.9346,,2002,299.47,5.26
-20.2613,148.8146,,2002,299.74,10.08
-20.2484,148.8318,,2002,299.76,2.85
-20.2179,148.8087,,2002,299.77,9.29
-20.193,150.082,,2002,299.76,3.14
-20.1911,148.9802,,2002,262.15,12.2
-20.1572,148.9317,,2002,262.15,14.12
-20.1559,149.0719,,2002,299.9,4.91
-20.1505,148.6077,,2002,299.8,12.18
-18.6587,146.4852,,1998,301.94,6.15
-18.6587,146.4852,,1998,296.7,6.8
-19.15,146.85,,1998,262.15,8.86
-20.1167,148.6583,,2002,299.83,11.59
-20.1088,148.6531,,2002,299.83,11.59
-20.1069,148.7145,,2002,299.84,9.9
-20.1007,148.3156,,2002,299.72,2.05
-20.1003,148.6073,,2002,299.84,12.54
-20.0895,148.879,,2002,299.96,8.96
-20.083,148.525,,2002,299.9,12.99
-20.0801,148.2979,,2002,299.72,2.05
-20.0769,148.4869,,2002,299.94,8.44
-20.0667,148.5371,,2002,299.92,14.14
-20.0643,148.266,,2002,299.73,2.2
-20.064,148.8912,,2002,298.71,47.17
-20.0529,148.466,,2002,299.96,1.47
-20.0389,148.2792,,2002,299.72,7.87
-20.0261,148.6288,,2002,299.9,10.72
-20.0188,148.6241,,2002,299.9,10.72
-20.0,148.275,,2002,299.8,8.59
-19.975,148.2667,,2002,299.89,12.24
-19.967,148.2667,,2002,299.89,12.24
-19.8833,147.9667,,2002,299.88,10.05
-19.8536,147.8958,,2002,299.91,7.52
-24.8362,152.4829,,1998,298.52,13.38
-24.0,151.6,,2002,298.25,15.49
-23.534,151.2757,,2002,298.41,11.11
-23.4162,151.1682,,2002,298.41,12.21
-23.4001,151.1541,,2002,298.45,11.13
-23.349,150.9377,,2002,298.36,8.6
-23.303,150.9222,,2002,298.37,7.6
-23.2107,150.9686,,2002,298.4,15.19
-23.1984,150.9725,,2002,298.38,13.16
-23.1977,151.1019,,2002,298.54,13.44
-23.1888,150.9658,,2002,298.38,13.16
-23.1886,150.9347,,2002,298.39,9.58
-23.1725,150.9861,,2002,298.46,12.79
-23.1678,150.9158,,2002,298.39,9.58
-23.1634,151.08,,2002,298.54,13.44
-23.1627,151.0707,,2002,298.54,13.44
-23.1575,150.9577,,2002,298.48,11.59
-23.1536,151.0852,,2002,298.54,11.4
-23.1511,150.9756,,2002,298.48,11.59
-23.1496,150.9054,,2002,298.44,13.22
-23.1175,150.9916,,2002,298.55,14.45
-23.0982,150.8972,,2002,298.48,9.32
-23.0954,150.8848,,2002,298.48,9.32
-23.0947,150.8987,,2002,298.48,9.32
-23.0824,150.8929,,2002,298.48,9.32
-23.0667,150.955,,2002,298.53,12.02
-23.046,150.8795,,2002,298.48,10.59
-23.0362,150.877,,2002,298.51,10.55
-22.0146,152.4498,,2002,299.35,7.6
-20.9338,149.4483,,2002,299.49,6.17
-20.9299,149.432,,2002,299.43,6.87
-20.9295,149.4705,,2002,299.49,6.17
-20.9215,149.413,,2002,299.43,6.87
-20.8635,149.5962,,2002,299.77,7.05
-20.8572,150.3798,,2002,299.76,4.61
-20.8143,149.2671,,2002,299.36,10.78
-20.7502,149.159,,2002,299.43,10.66
-20.7366,149.149,,2002,299.42,12.33
-20.6741,149.1389,,2002,299.41,8.68
-20.655,149.1542,,2002,299.53,9.2
-20.5855,149.1143,,2002,299.52,10.81
-20.5362,149.1159,,2002,299.53,7.97
-20.5318,149.0884,,2002,299.48,11.69
-20.4679,149.0387,,2002,299.47,11.67
-20.4207,149.0065,,2002,299.48,6.64
-20.1305,148.608,,2002,299.8,11.12
-19.7269,147.7591,,2002,262.15,8.48
-19.7102,147.7504,,2002,262.15,8.48
-19.7096,147.7503,,2002,262.15,8.48
-19.7,147.817,,2002,300.09,10.24
-19.3839,148.0879,,2002,300.07,1.22
-19.3225,148.4338,,2002,300.04,3.3
-19.298,148.0791,,2002,300.04,8.79
-19.2817,148.3483,,2002,300.02,1.17
