Latitude,Longitude,Depth_m,Year,Sea_Surface_Temperature_C,Degree_Heating_Weeks,pH,Salinity_PSU,Turbidity_NTU,Coral_Cover_Percent,Marine_Heatwave,Bleaching_Risk,Bleaching_Label
-7.5276,-45.4893,22.17,2002,26.95,0.0,7.995,35.42,2.9,63.6,False,0.0,1
27.0429,-60.1516,6.35,2016,27.43,0.0,7.903,33.79,3.82,71.45,False,0.0,0
13.9196,-116.5846,11.05,2022,30.24,5.25,8.063,33.31,9.83,27.94,True,86.03,1
5.9195,38.616,20.24,1995,27.58,0.0,7.909,36.06,12.66,75.24,False,0.0,0
-20.6389,-8.4153,14.98,2002,30.0,2.45,7.993,33.03,8.59,45.11,False,49.15,0
-20.6403,131.6524,22.42,2002,26.33,0.0,8.109,36.32,4.57,52.41,False,0.0,0
-26.515,-168.4406,28.88,2002,26.45,0.0,8.158,34.35,4.63,43.25,False,0.0,0
21.9706,51.7925,4.38,2009,28.77,0.0,7.962,33.53,1.02,39.31,False,0.0,0
6.0669,94.6616,21.58,1998,27.62,0.0,8.252,35.02,0.58,41.88,False,0.0,0
12.4844,93.4152,7.68,2006,28.04,0.0,8.032,36.89,2.36,76.89,False,0.0,0
-28.7649,138.9866,13.02,2007,28.98,0.0,7.981,35.94,14.9,45.06,False,9.31,0
28.1946,82.4521,1.95,2014,26.55,0.0,8.122,36.04,3.35,81.22,False,0.0,0
19.9466,154.0116,4.94,2004,29.48,0.0,7.992,34.63,8.46,60.95,False,17.28,0
-17.2597,-60.2436,10.27,2012,26.65,0.0,8.081,34.8,2.99,29.29,False,0.0,0
-19.0905,1.1554,10.92,1990,28.08,0.0,8.033,36.37,13.06,52.77,False,0.0,0
-18.9957,-174.9313,27.09,2007,27.44,0.0,8.074,33.34,10.1,22.47,False,0.0,0
-11.7455,-177.4953,22.51,1990,26.48,0.0,8.055,33.22,11.26,64.0,False,0.0,0
1.4854,-93.5544,29.19,1999,30.47,4.63,8.088,35.76,12.33,46.43,True,100.0,1
-4.0833,-143.7094,18.37,2020,29.75,2.29,7.966,34.09,12.26,26.38,True,31.48,1
-12.5263,-86.3239,8.01,1996,27.12,0.0,7.927,37.0,0.6,39.39,False,0.0,0
6.7112,-116.2644,10.5,1997,25.24,0.0,8.018,36.98,10.24,68.19,False,0.0,0
-21.6304,-169.7328,10.28,2023,30.78,6.22,7.98,35.57,12.43,28.99,True,100.0,1
-12.4713,147.3495,10.47,1998,27.78,0.0,8.023,34.85,1.3,35.86,False,0.0,1
-8.0183,-177.0397,20.52,2014,28.63,0.0,7.818,33.03,8.22,48.29,False,0.0,0
-2.6358,84.9896,16.39,2016,27.23,0.0,7.914,35.41,2.99,47.13,False,0.0,0
17.1106,-125.2268,12.18,1996,29.32,2.44,7.921,33.36,3.59,70.06,True,42.19,1
-18.0196,148.4027,5.32,2021,27.0,0.0,7.881,36.62,12.71,71.83,False,0.0,0
0.8541,141.4065,1.64,1998,27.28,0.0,8.084,33.46,7.17,37.88,False,0.0,0
5.5449,55.4044,7.35,2006,27.8,0.0,7.919,33.4,3.18,72.46,False,1.87,0
-27.213,62.0043,4.12,2005,28.75,0.0,7.945,35.88,11.32,76.38,False,20.7,1
6.4527,-178.0779,23.78,1991,27.65,0.0,7.959,33.61,13.43,61.21,False,0.0,0
-19.7686,174.5538,4.26,2020,28.77,0.0,8.141,35.34,10.34,51.02,False,9.23,0
-26.0969,136.0197,22.0,2005,27.85,0.0,7.882,36.18,13.85,38.94,False,0.0,0
26.9331,142.2382,12.18,2022,28.02,0.0,7.899,33.01,4.65,74.21,False,0.0,0
27.9379,57.328,3.13,2010,30.35,1.83,7.991,33.61,6.77,51.04,False,57.03,1
18.5038,-55.8767,24.57,2006,30.09,2.16,7.884,33.71,2.03,41.18,True,38.95,0
-11.7232,141.7135,17.81,1996,27.27,0.0,8.196,35.22,1.56,49.92,False,0.0,0
-24.1397,-75.0539,7.84,2018,29.29,1.05,7.893,36.19,6.35,50.69,False,25.58,0
11.054,22.5762,26.95,2000,28.94,0.26,8.123,36.44,10.39,39.27,False,0.0,0
-3.5909,-144.0968,2.31,2019,28.34,0.0,8.023,33.25,11.44,31.38,False,0.0,0
-22.6777,151.904,6.85,2007,28.79,0.0,8.072,35.03,2.69,59.22,False,0.0,0
-0.2894,-129.3226,22.81,2005,27.44,0.0,8.056,36.48,9.4,54.74,False,0.0,0
-27.9367,-99.0371,21.57,1995,26.95,0.0,8.205,33.28,8.11,48.16,False,0.0,0
24.5592,20.9283,9.39,1991,27.17,0.0,8.057,33.1,12.21,60.49,False,2.33,0
-14.4732,95.0735,2.8,1999,28.24,0.0,8.087,33.19,11.07,36.28,False,17.78,1
9.7513,42.9665,25.88,1993,31.44,7.22,7.858,36.73,7.75,20.59,True,100.0,1
-11.2973,-96.4318,10.1,1999,29.81,3.45,8.23,34.6,4.07,27.05,False,46.36,1
1.2041,-179.6605,6.68,1998,26.5,0.0,7.945,33.24,13.22,44.28,False,0.0,0
2.8026,92.5742,15.97,2013,30.32,3.61,8.016,36.98,2.92,38.86,False,62.29,1
-18.9087,174.6746,27.4,1994,30.18,6.49,7.803,36.82,4.27,43.97,True,93.02,1
28.1751,111.5687,2.26,1993,27.0,0.0,8.132,34.67,10.28,54.24,False,0.0,0
16.508,-14.3256,23.21,2002,26.95,0.0,7.985,33.41,8.16,22.98,False,0.0,0
26.3699,145.3562,17.6,2021,28.86,0.0,7.868,35.97,2.01,20.68,False,0.0,0
23.6896,-32.4548,13.34,1990,28.71,0.0,8.064,33.24,7.53,37.78,False,2.82,0
5.874,8.9763,22.58,2000,26.97,0.0,8.063,35.51,2.21,59.34,False,0.0,0
25.3125,-8.2333,29.01,2015,27.58,0.0,7.857,36.05,2.08,52.42,False,0.0,0
-24.6904,-18.8554,7.65,1992,28.62,0.0,8.05,33.85,4.21,38.78,False,28.0,1
-18.241,99.0687,5.17,2002,27.59,0.0,7.972,36.77,2.99,69.3,False,0.0,1
-27.2864,9.6368,27.47,2021,28.57,0.0,8.109,36.98,14.88,32.76,False,0.0,0
-10.4802,-65.9818,20.4,2012,29.29,1.35,8.145,34.44,14.39,33.62,False,0.0,0
-6.6794,-87.0631,13.7,2012,26.56,0.0,7.888,36.85,11.0,43.26,False,0.0,0
-13.7191,-166.411,17.62,2019,27.44,0.0,8.144,33.93,12.67,38.55,False,0.0,0
19.7243,29.9503,22.62,1995,29.02,0.0,8.065,36.21,13.52,83.32,False,0.0,0
-8.5948,-97.2139,23.42,1996,28.94,0.08,7.965,35.96,8.18,74.68,False,0.0,0
-13.1439,-126.6718,27.68,2019,30.32,3.55,7.979,33.17,12.22,27.76,False,28.55,0
2.5618,55.3788,13.38,2021,28.7,0.52,8.088,34.04,13.59,44.95,False,1.53,0
-21.5445,65.2353,9.51,1995,28.48,0.0,8.05,34.54,1.23,71.85,False,0.0,0
18.1318,90.7758,19.55,2021,30.57,5.51,8.03,33.06,12.19,57.81,True,96.69,1
-25.527,1.2877,13.06,2001,27.41,0.0,8.038,36.79,1.7,68.56,False,0.0,0
29.2132,141.8597,18.24,1993,28.96,1.5,8.119,33.85,14.19,51.66,False,27.85,1
16.3347,157.0834,13.18,2021,27.91,0.0,8.031,36.7,10.25,43.45,False,0.0,0
-18.0771,110.6535,5.44,2005,28.22,0.0,8.173,34.76,14.98,80.06,False,0.0,1
-29.6687,48.8137,14.61,2004,25.96,0.0,7.953,33.51,6.34,45.71,False,0.0,0
18.9277,-70.6605,21.04,1991,29.4,0.0,7.978,34.71,12.96,39.46,False,20.6,0
12.4114,173.8602,24.18,1995,29.38,0.77,7.966,35.45,14.37,74.3,False,29.72,1
13.7404,-81.311,15.31,2003,26.0,0.0,8.069,34.9,4.76,75.32,False,0.0,0
16.2762,-107.0435,5.79,2018,29.54,1.79,8.149,34.27,12.99,56.95,False,45.06,1
-25.5573,-20.8245,13.03,2015,30.85,7.68,8.156,36.26,5.92,54.36,True,100.0,1
-8.4921,-159.5374,23.8,2007,29.34,1.92,8.057,36.82,6.57,60.79,False,17.53,0
-23.0479,172.258,12.97,1993,29.22,0.35,8.249,33.38,13.13,59.89,False,6.18,0
21.7862,31.8361,21.2,2014,26.71,0.0,7.903,35.2,8.32,60.02,False,0.0,1
7.3979,20.5028,15.71,2018,27.54,0.0,7.948,34.27,6.37,55.13,False,0.0,0
-10.1461,56.0867,8.0,2023,27.15,0.0,8.139,35.99,2.7,28.32,False,0.0,0
-26.1865,-1.0715,24.09,2005,30.92,8.56,8.076,35.54,6.84,25.67,True,100.0,1
-11.3411,-168.4571,3.44,2019,28.35,0.0,7.83,33.11,11.09,27.32,False,29.32,0
-10.489,40.4321,16.22,2012,30.47,4.19,7.991,35.54,10.5,22.51,False,65.62,1
13.7764,77.8226,7.06,2017,27.99,0.0,7.844,35.9,11.85,61.24,False,3.51,0
8.2534,-29.9703,2.94,1990,28.86,2.28,8.149,36.08,11.46,40.69,False,23.52,1
23.2328,92.6264,15.59,1997,28.64,0.0,8.147,36.56,5.73,49.76,False,20.45,1
-1.6671,-98.2795,15.49,2004,28.14,0.0,7.968,36.78,12.66,64.54,False,0.0,0
-22.8243,-100.3404,21.5,2023,28.95,0.0,8.254,34.07,1.06,36.51,False,0.0,0
12.7947,-121.8899,22.6,2008,26.36,0.0,8.093,35.65,0.91,69.71,False,0.0,0
15.6471,-46.0819,22.11,2019,27.27,0.0,8.027,35.23,14.36,66.46,False,0.0,0
3.6766,124.9243,12.88,1999,26.78,0.0,7.929,36.29,13.21,50.12,False,0.0,0
16.258,118.0483,19.32,2016,26.24,0.0,7.811,33.15,6.34,46.42,False,0.0,0
-0.3723,-42.1833,17.73,2009,26.57,0.0,8.019,34.64,12.72,51.18,False,0.0,0
1.364,32.0827,13.23,2014,26.99,0.0,7.854,34.37,9.93,29.23,False,0.0,0
-4.3475,79.4939,18.32,1998,26.79,0.0,7.998,35.61,2.97,36.73,False,0.0,1
-28.4749,-93.1656,28.47,2023,29.95,3.16,7.973,34.67,7.11,44.6,False,26.43,0
-23.5265,-119.4692,6.59,2010,28.9,0.0,8.19,34.57,1.42,57.88,False,4.95,0
-28.1142,169.9546,27.27,2013,27.38,0.0,8.12,34.5,5.36,51.13,False,0.0,0
8.1846,42.3206,2.55,1996,27.87,0.0,8.122,36.3,3.5,63.35,False,0.0,1
-11.1386,173.3097,9.94,1993,28.82,0.0,8.212,34.93,12.41,51.55,False,9.21,0
0.5142,-58.4078,9.36,1997,27.01,0.0,8.088,34.6,11.19,73.64,False,0.0,0
24.454,73.0914,19.16,2002,26.82,0.0,8.119,36.46,1.39,63.21,False,0.0,0
-15.0425,-99.8627,4.81,2010,29.14,0.22,8.081,33.01,8.3,42.3,False,21.65,1
-5.377,-85.9679,26.59,1994,28.33,0.0,7.981,34.28,11.03,66.22,False,0.0,0
15.3331,4.2848,25.03,1997,26.94,0.0,8.146,35.7,9.54,69.5,False,0.0,0
-16.2721,-64.9375,19.91,1991,26.54,0.0,8.285,33.42,1.28,53.69,False,0.0,0
-25.3812,-119.6562,14.29,2013,28.2,0.0,7.863,35.32,3.36,39.59,False,0.0,0
-12.6149,-85.3629,28.06,2005,29.8,0.09,8.072,34.8,6.07,65.91,False,1.89,0
-20.3267,-167.1306,25.09,1993,27.95,0.0,7.894,35.68,2.36,28.79,False,0.0,0
25.7819,73.5925,15.48,2019,30.11,4.84,8.128,35.12,2.62,43.03,True,87.8,1
18.4872,-2.838,21.35,2019,27.74,0.0,8.129,33.78,6.1,55.64,False,0.0,0
8.0042,-146.0725,17.44,2002,30.24,3.04,8.22,33.53,7.61,54.82,False,19.61,1
22.2876,-118.1902,18.05,2000,30.52,4.71,8.083,34.23,1.47,38.63,True,46.38,1
18.2203,-143.0876,10.6,2008,26.57,0.0,7.881,36.77,11.08,45.62,False,0.0,1
-18.8058,40.5334,14.4,2007,26.11,0.0,7.929,33.84,8.37,73.96,False,0.0,0
23.5535,-146.0843,3.27,2006,26.99,0.0,8.006,34.84,14.44,73.4,False,0.0,0
2.3605,91.5416,11.36,2000,26.47,0.0,7.944,36.8,4.57,47.13,False,0.0,0
18.4464,-172.6161,21.18,2004,27.92,0.0,8.124,33.81,4.28,75.87,False,0.0,0
